lat,lon,nghd,tract
40.362,-80.095,None,
40.362,-80.094,None,
40.362,-80.093,None,
40.362,-80.092,None,
40.362,-80.091,None,
40.362,-80.09,None,
40.362,-80.089,None,
40.362,-80.088,None,
40.362,-80.087,None,
40.362,-80.086,None,
40.362,-80.085,None,
40.362,-80.084,None,
40.362,-80.083,None,
40.362,-80.082,None,
40.362,-80.081,None,
40.362,-80.08,None,
40.362,-80.079,None,
40.362,-80.078,None,
40.362,-80.077,None,
40.362,-80.076,None,
40.362,-80.075,None,
40.362,-80.074,None,
40.362,-80.073,None,
40.362,-80.072,None,
40.362,-80.071,None,
40.362,-80.07,None,
40.362,-80.069,None,
40.362,-80.068,None,
40.362,-80.067,None,
40.362,-80.066,None,
40.362,-80.065,None,
40.362,-80.064,None,
40.362,-80.063,None,
40.362,-80.062,None,
40.362,-80.061,None,
40.362,-80.06,None,
40.362,-80.059,None,
40.362,-80.058,None,
40.362,-80.057,None,
40.362,-80.056,None,
40.362,-80.055,None,
40.362,-80.054,None,
40.362,-80.053,None,
40.362,-80.052,None,
40.362,-80.051,None,
40.362,-80.05,None,
40.362,-80.049,None,
40.362,-80.048,None,
40.362,-80.047,None,
40.362,-80.046,None,
40.362,-80.045,None,
40.362,-80.044,None,
40.362,-80.043,None,
40.362,-80.042,None,
40.362,-80.041,None,
40.362,-80.04,None,
40.362,-80.039,None,
40.362,-80.038,None,
40.362,-80.037,None,
40.362,-80.036,None,
40.362,-80.035,None,
40.362,-80.034,None,
40.362,-80.033,None,
40.362,-80.032,None,
40.362,-80.031,None,
40.362,-80.03,None,
40.362,-80.029,None,
40.362,-80.028,None,
40.362,-80.027,None,
40.362,-80.026,None,
40.362,-80.025,None,
40.362,-80.024,None,
40.362,-80.023,None,
40.362,-80.022,None,
40.362,-80.021,None,
40.362,-80.02,None,
40.362,-80.019,None,
40.362,-80.018,None,
40.362,-80.017,None,
40.362,-80.016,None,
40.362,-80.015,None,
40.362,-80.014,None,
40.362,-80.013,None,
40.362,-80.012,None,
40.362,-80.011,None,
40.362,-80.01,None,
40.362,-80.009,None,
40.362,-80.008,None,
40.362,-80.007,None,
40.362,-80.006,None,
40.362,-80.005,None,
40.362,-80.004,None,
40.362,-80.003,None,
40.362,-80.002,None,
40.362,-80.001,None,
40.362,-80.0,None,
40.362,-79.999,None,
40.362,-79.998,None,
40.362,-79.997,None,
40.362,-79.996,None,
40.362,-79.995,None,
40.362,-79.994,None,
40.362,-79.993,None,
40.362,-79.992,None,
40.362,-79.991,None,
40.362,-79.99,None,
40.362,-79.989,None,
40.362,-79.988,None,
40.362,-79.987,None,
40.362,-79.986,None,
40.362,-79.985,None,
40.362,-79.984,None,
40.362,-79.983,None,
40.362,-79.982,None,
40.362,-79.981,None,
40.362,-79.98,None,
40.362,-79.979,None,
40.362,-79.978,None,
40.362,-79.977,None,
40.362,-79.976,None,
40.362,-79.975,None,
40.362,-79.974,None,
40.362,-79.973,None,
40.362,-79.972,None,
40.362,-79.971,None,
40.362,-79.97,None,
40.362,-79.969,None,
40.362,-79.968,None,
40.362,-79.967,None,
40.362,-79.966,None,
40.362,-79.965,None,
40.362,-79.964,None,
40.362,-79.963,None,
40.362,-79.962,None,
40.362,-79.961,None,
40.362,-79.96,None,
40.362,-79.959,None,
40.362,-79.958,None,
40.362,-79.957,None,
40.362,-79.956,None,
40.362,-79.955,None,
40.362,-79.954,None,
40.362,-79.953,None,
40.362,-79.952,None,
40.362,-79.951,None,
40.362,-79.95,None,
40.362,-79.949,None,
40.362,-79.948,None,
40.362,-79.947,None,
40.362,-79.946,None,
40.362,-79.945,None,
40.362,-79.944,None,
40.362,-79.943,None,
40.362,-79.942,None,
40.362,-79.941,None,
40.362,-79.94,None,
40.362,-79.939,None,
40.362,-79.938,None,
40.362,-79.937,None,
40.362,-79.936,None,
40.362,-79.935,None,
40.362,-79.934,None,
40.362,-79.933,None,
40.362,-79.932,None,
40.362,-79.931,None,
40.362,-79.93,None,
40.362,-79.929,None,
40.362,-79.928,None,
40.362,-79.927,None,
40.362,-79.926,None,
40.362,-79.925,None,
40.362,-79.924,None,
40.362,-79.923,None,
40.362,-79.922,None,
40.362,-79.921,None,
40.362,-79.92,None,
40.362,-79.919,None,
40.362,-79.918,None,
40.362,-79.917,None,
40.362,-79.916,None,
40.362,-79.915,None,
40.362,-79.914,None,
40.362,-79.913,None,
40.362,-79.912,None,
40.362,-79.911,None,
40.362,-79.91,None,
40.362,-79.909,None,
40.362,-79.908,None,
40.362,-79.907,Lincoln Place,
40.362,-79.906,None,
40.362,-79.905,None,
40.362,-79.904,None,
