lat,lon,nghd,tract
37.705,-122.518,Outside San Francisco,-1
37.705,-122.517,Outside San Francisco,-1
37.705,-122.516,Outside San Francisco,-1
37.705,-122.515,Outside San Francisco,-1
37.705,-122.514,Outside San Francisco,-1
37.705,-122.513,Outside San Francisco,-1
37.705,-122.512,Outside San Francisco,-1
37.705,-122.511,Outside San Francisco,-1
37.705,-122.51,Outside San Francisco,-1
37.705,-122.509,Outside San Francisco,-1
37.705,-122.508,Outside San Francisco,-1
37.705,-122.507,Outside San Francisco,-1
37.705,-122.506,Outside San Francisco,-1
37.705,-122.505,Outside San Francisco,-1
37.705,-122.504,Outside San Francisco,-1
37.705,-122.503,Outside San Francisco,-1
37.705,-122.502,Outside San Francisco,-1
37.705,-122.501,Outside San Francisco,-1
37.705,-122.5,Outside San Francisco,-1
37.705,-122.499,Outside San Francisco,-1
37.705,-122.498,Outside San Francisco,-1
37.705,-122.497,Outside San Francisco,-1
37.705,-122.496,Outside San Francisco,-1
37.705,-122.495,Outside San Francisco,-1
37.705,-122.494,Outside San Francisco,-1
37.705,-122.493,Outside San Francisco,-1
37.705,-122.492,Outside San Francisco,-1
37.705,-122.491,Outside San Francisco,-1
37.705,-122.49,Outside San Francisco,-1
37.705,-122.489,Outside San Francisco,-1
37.705,-122.488,Outside San Francisco,-1
37.705,-122.487,Outside San Francisco,-1
37.705,-122.486,Outside San Francisco,-1
37.705,-122.485,Outside San Francisco,-1
37.705,-122.484,Outside San Francisco,-1
37.705,-122.483,Outside San Francisco,-1
37.705,-122.482,Outside San Francisco,-1
37.705,-122.481,Outside San Francisco,-1
37.705,-122.48,Outside San Francisco,-1
37.705,-122.479,Outside San Francisco,-1
37.705,-122.478,Outside San Francisco,-1
37.705,-122.477,Outside San Francisco,-1
37.705,-122.476,Outside San Francisco,-1
37.705,-122.475,Outside San Francisco,-1
37.705,-122.474,Outside San Francisco,-1
37.705,-122.473,Outside San Francisco,-1
37.705,-122.472,Outside San Francisco,-1
37.705,-122.471,Outside San Francisco,-1
37.705,-122.47,Outside San Francisco,-1
37.705,-122.469,Outside San Francisco,-1
37.705,-122.468,Outside San Francisco,-1
37.705,-122.467,Outside San Francisco,-1
37.705,-122.466,Outside San Francisco,-1
37.705,-122.465,Outside San Francisco,-1
37.705,-122.464,Outside San Francisco,-1
37.705,-122.463,Outside San Francisco,-1
37.705,-122.462,Outside San Francisco,-1
37.705,-122.461,Outside San Francisco,-1
37.705,-122.46,Outside San Francisco,-1
37.705,-122.459,Outside San Francisco,-1
37.705,-122.458,Outside San Francisco,-1
37.705,-122.457,Outside San Francisco,-1
37.705,-122.456,Outside San Francisco,-1
37.705,-122.455,Outside San Francisco,-1
37.705,-122.454,Outside San Francisco,-1
37.705,-122.453,Outside San Francisco,-1
37.705,-122.452,Outside San Francisco,-1
37.705,-122.451,Outside San Francisco,-1
37.705,-122.45,Outside San Francisco,-1
37.705,-122.449,Outside San Francisco,-1
37.705,-122.448,Outside San Francisco,-1
37.705,-122.447,Outside San Francisco,-1
37.705,-122.446,Outside San Francisco,-1
37.705,-122.445,Outside San Francisco,-1
37.705,-122.444,Outside San Francisco,-1
37.705,-122.443,Outside San Francisco,-1
37.705,-122.442,Outside San Francisco,-1
37.705,-122.441,Outside San Francisco,-1
37.705,-122.44,Outside San Francisco,-1
37.705,-122.439,Outside San Francisco,-1
37.705,-122.438,Outside San Francisco,-1
37.705,-122.437,Outside San Francisco,-1
